column_name,chinese_name,unit,description
study_type,研究类型,-,本行所属研究口径
condition,工况说明,-,固定边界条件的简短说明
case_id,基准工况编号,-,使用的原始台架工况编号
status,求解状态,-,ok 表示该 EGR 点完成求解
error_message,错误信息,-,仿真或求解失败时的错误说明
risk_label,风险标签,-,ok 或具体未通过的风险类型
boundary_case_index,边界工况索引,-,initial_noegr 数据表中的工况序号
target_V_cell,目标单电池电压,V/cell,恒电压求解目标
base_current_A,基准电流,A,本研究固定参考的 38 A 基准电流
base_measured_V_cell,基准实测单电池电压,V/cell,initial_noegr_01 原始实测电压
egr_fraction_cmd,CEGR循环比例,-,阴极尾气循环比例命令值
stop_time_s,仿真时长,s,单点稳态回放的仿真结束时间
fixed_stack_in_flow_kg_s,固定阴极入堆质量流量,kg/s,扫描过程中保持不变的总入堆质量流量
fixed_stack_in_flow_SLPM,固定阴极入堆标准体积流量,SLPM,扫描过程中保持不变的总入堆标准流量
fixed_stack_in_p_kPa_g,固定阴极入堆入口压力,kPa(g),阴极入堆入口表压
fixed_stack_in_T_C,固定阴极入堆入口温度,C,阴极入堆入口温度
fixed_stack_out_p_kPa_g,固定阴极出口背压,kPa(g),阴极出口背压表压
fixed_separator_T_C,固定分离器/EGR回流温度,C,EGR回流初始温度边界
fixed_coolant_in_T_C,固定冷却液入口温度,C,冷却侧入口温度
fixed_coolant_flow_L_min,固定冷却液流量,L/min,冷却液体积流量
fixed_anode_flow_kg_s,固定阳极入口质量流量,kg/s,阳极湿氢入口总质量流量
fixed_anode_back_p_kPa_abs,固定阳极出口背压,kPa(abs),阳极出口绝对背压
bracket_low_current_A,求根下界电流,A,二分求解初始低电流边界
bracket_low_V_cell,下界电流对应电压,V/cell,低电流边界仿真的单电池电压
bracket_high_current_A,求根上界电流,A,二分求解初始高电流边界
bracket_high_V_cell,上界电流对应电压,V/cell,高电流边界仿真的单电池电压
simulation_count,仿真次数,-,该 EGR 点二分求解累计调用 Simulink 的次数
bisection_iter_count,二分迭代次数,-,该 EGR 点求电流的二分迭代次数
I_solution_A,恒电压所需电流,A,使 V_cell 接近 0.800 V/cell 的求解电流
I_reduction_A,相对38A降电流,A,38 A 减去恒电压所需电流
I_reduction_pct,相对38A降电流比例,%,相对 38 A 的电流降低百分比
V_cell_sim,仿真单电池电压,V/cell,求解电流下的末端单电池电压
V_error_V,电压误差,V/cell,V_cell_sim 减去目标电压
voltage_target_ok,电压目标是否通过,-,电压误差是否满足验收门槛
P_stack_W,电堆输出功率,W,V_cell_sim * I_solution_A * N_cell
P_reduction_W,相对基准功率下降,W,目标电压38A基准功率减去当前功率
P_reduction_pct,相对基准功率下降比例,%,功率下降百分比
H2_reaction_mol_s,反应氢耗摩尔流量,mol/s,按法拉第反应电流估算的氢耗
H2_reduction_mol_s,反应氢耗下降量,mol/s,相对38A基准反应氢耗的下降量
H2_reduction_pct,反应氢耗下降比例,%,相对38A基准反应氢耗的下降百分比
pO2_stack_kPa,堆内氧分压,kPa,PEMFCStackCore 诊断的阴极氧分压
p_stack_internal_kPa_abs,堆内阴极压力,kPa(abs),PEMFCStackCore 诊断的阴极内部绝压
pH2_stack_kPa,堆内氢分压,kPa,PEMFCStackCore 诊断的阳极氢分压
pAn_stack_kPa_abs,堆内阳极压力,kPa(abs),PEMFCStackCore 诊断的阳极内部绝压
lambda_m,膜含水量,-,电堆膜水状态诊断量
T_stack_C,电堆温度,C,电堆热平衡温度诊断量
pO2_ca_in_kPa,阴极入口氧分压,kPa,混合后阴极入口氧分压
xO2_ca_in,阴极入口氧摩尔分数,-,混合后阴极入口氧气摩尔分数
RH_ca_in,阴极入口相对湿度,-,混合后阴极入口相对湿度
lambda_O2_actual,实际氧气计量比,-,基于实际入口氧流量计算的氧气计量比
m_stack_in_kg_s,实际入堆质量流量,kg/s,模型诊断的阴极入口总质量流量
m_egr_return_kg_s,EGR回流质量流量,kg/s,分离器后返回混合器的气相质量流量
m_bench_out_kg_s,台架外排质量流量,kg/s,未回流而排出的阴极尾气质量流量
liquid_drain_separator_kg_s,分离器排液流量,kg/s,分离器液态水排出质量流量
condensed_separator_kg_s,分离器冷凝流量,kg/s,分离器中冷凝出的水质量流量
separator_out_RH,分离器出口相对湿度,-,分离器气相出口相对湿度
m_separator_gas_kg_s,分离器气相出口流量,kg/s,分离器出口气相 O2/N2/H2O 总流量
maxGasRes_kg_s,最大气体守恒残差,kg/s,气体质量守恒残差诊断量
Qnet_W,电堆净热量,W,热平衡净热流诊断量
Qgen_W,电堆产热,W,电化学反应与损失产生的热量
Qcool_W,冷却带走热量,W,冷却回路换热项
Qamb_W,环境散热,W,电堆向环境散热项
Qgas_W,气体焓流热量,W,进出气体携带的热量项
flow_fixed_ok,流量固定检查,-,实际入堆流量是否等于固定基准流量
gas_residual_ok,气体守恒检查,-,最大气体守恒残差是否小于门槛
oxygen_starvation_risk,缺气风险标记,-,实际氧计量比低于1.2时为真
oxygen_ok,氧气裕度检查,-,未触发缺气风险且入口氧分数为正
humidity_ok,湿度范围检查,-,入口相对湿度是否在合理范围内
pressure_order_ok,压力顺序检查,-,堆内阴极压力是否不低于出口背压
boundary_fixed_ok,固定边界检查,-,除 EGR 与混合组分外的操作条件是否保持固定
normal_operation_ok,有效工况总判定,-,所有关键验收条件是否同时通过
xO2_monotonic_ok,氧浓度单调性检查,-,整组扫描中 xO2 是否随 EGR 增大而单调下降
